code_hs4,id
0101,1
0102,1
0103,1
0104,1
0105,1
0106,1
0201,3
0202,3
0203,3
0204,1
0205,1
0206,3
0207,3
0208,3
0209,3
0210,3
0301,1
0302,1
0303,1
0304,1
0305,3
0306,1
0307,1
0308,3
0401,3
0402,3
0403,3
0404,3
0405,3
0406,1
0407,1
0408,3
0409,1
0410,1
0501,1
0502,3
0504,1
0505,3
0506,3
0507,1
0508,1
0510,1
0511,3
0601,2
0602,2
0603,1
0604,2
0701,1
0702,2
0703,1
0704,1
0705,1
0706,2
0707,2
0708,1
0709,1
0710,2
0711,3
0712,2
0713,2
0714,1
0801,1
0802,2
0803,1
0804,1
0805,2
0806,2
0807,1
0808,2
0809,2
0810,1
0811,2
0812,2
0813,3
0814,2
0901,2
0902,1
0903,2
0904,2
0905,1
0906,1
0907,1
0908,2
0909,2
0910,2
1001,1
1002,1
1003,1
1004,1
1005,2
1006,3
1007,2
1008,2
1101,2
1102,3
1103,2
1104,2
1105,3
1106,3
1107,2
1108,3
1109,2
1201,1
1202,1
1203,2
1204,2
1205,1
1206,2
1207,2
1208,3
1209,1
1210,1
1211,1
1212,1
1213,2
1214,1
1301,1
1302,3
1401,1
1404,1
1501,3
1502,3
1503,3
1504,3
1505,3
1506,3
1507,3
1508,3
1509,3
1510,3
1511,3
1512,3
1513,3
1514,3
1515,3
1516,3
1517,3
1518,3
1520,3
1521,1
1522,3
1601,4
1602,3
1603,4
1604,4
1605,3
1701,3
1702,4
1703,3
1704,4
1801,4
1802,4
1803,3
1804,4
1805,4
1806,3
1901,3
1902,4
1903,4
1904,3
1905,3
2001,3
2002,3
2003,3
2004,4
2005,3
2006,4
2007,3
2008,4
2009,3
2101,4
2102,3
2103,3
2104,4
2105,4
2106,3
2201,3
2202,4
2203,3
2204,4
2205,3
2206,4
2207,4
2208,4
2209,4
2301,3
2302,4
2303,4
2304,4
2305,4
2306,3
2307,4
2308,4
2309,4
2401,3
2402,3
2403,4
2501,5
2502,5
2503,5
2504,2
2505,2
2506,2
2507,5
2508,2
2509,5
2510,2
2511,2
2512,5
2513,2
2514,5
2515,2
2516,2
2517,5
2518,9
2519,5
2520,2
2521,5
2522,9
2523,9
2524,2
2525,2
2526,2
2528,5
2529,2
