code_hs4,id
6108,4
6109,11
6110,4
6111,11
6112,11
6113,4
6114,4
6115,4
6116,4
6117,11
6201,4
6202,4
6203,11
6204,11
6205,4
6206,4
6207,11
6208,4
6209,4
6210,4
6211,11
6212,4
6213,4
6214,4
6215,11
6216,11
6217,4
6301,11
6302,4
6303,4
6304,4
6305,11
6306,4
6307,4
6308,11
6309,11
6310,4
6401,4
6402,12
6403,12
6404,12
6405,4
6406,4
6501,12
6502,12
6504,12
6505,4
6506,4
6507,12
6601,15
6602,12
6603,15
6701,12
6702,15
6703,12
6704,12
6801,13
6802,9
6803,9
6804,13
6805,9
6806,9
6807,9
6808,13
6809,9
6810,13
6811,13
6812,13
6813,9
6814,9
6815,9
6901,13
6902,9
6903,9
6904,9
6905,9
6906,13
6907,13
6909,9
6910,9
6911,9
6912,9
6913,9
6914,9
7001,9
7002,13
7003,9
7004,9
7005,9
7006,9
7007,9
7008,9
7009,9
7010,13
7011,9
7013,13
7014,13
7015,9
7016,13
7017,9
7018,13
7019,9
7020,13
7101,1
7102,2
7103,15
7104,14
7105,15
7106,10
7107,14
7108,10
7109,14
7110,10
7111,14
7112,17
7113,15
7114,15
7115,10
7116,15
7117,15
7118,15
7201,10
7202,15
7203,10
7204,17
7205,10
7206,10
7207,15
7208,10
7209,15
7210,10
7211,10
7212,10
7213,10
7214,15
7215,10
7216,15
7217,10
7218,10
7219,10
7220,15
7221,10
7222,10
7223,10
7224,15
7225,15
7226,10
7227,10
7228,15
7229,15
7301,10
7302,10
7303,10
7304,15
7305,10
7306,15
7307,15
7308,10
7309,10
7310,10
7311,10
7312,10
7313,15
7314,10
7315,10
7316,15
7317,10
7318,15
7319,15
7320,15
7321,12
7322,15
7323,10
7324,15
7325,10
7326,15
7401,15
7402,15
7403,10
7404,17
7405,15
7406,10
7407,10
7408,10
7409,10
7410,10
7411,15
7412,15
7413,15
7415,10
7418,10
7419,15
7501,10
7502,10
7503,17
7504,15
7505,10
7506,10
7507,10
7508,10
7601,10
7602,17
7603,10
7604,10
7605,10
7606,15
7607,10
7608,10
7609,15
7610,10
7611,15
7612,15
7613,15
7614,10
7615,10
7616,10
7801,10
7802,15
7804,10
7806,10
7901,10
7902,15
7903,10
7904,15
7905,15
7907,15
8001,10
8002,15
8003,15
8007,15
8101,10
8102,10
8103,10
8104,15
8105,15
8106,10
8107,10
8108,10
8109,10
8110,10
8111,10
8112,15
8113,10
8201,10
8202,10
8203,15
8204,10
8205,10
8206,15
8207,10
8208,10
8209,10
8210,15
8211,15
8212,10
8213,15
8214,10
8215,10
8301,10
8302,15
8303,10
8304,15
8305,10
8306,10
8307,15
8308,10
8309,10
8310,15
8311,10
8401,16
8402,10
8403,16
8404,16
8405,13
8406,13
8407,14
8408,13
8409,13
8410,13
8411,16
8412,13
8413,16
8414,13
8415,13
8416,13
8417,13
8418,16
8419,13
8420,13
8421,16
8422,13
8423,16
8424,13
8425,13
8426,16
8427,13
8428,13
8429,13
8430,13
8431,13
8432,13
8433,13
8434,13
8435,13
8436,13
8437,13
8438,13
8439,16
8440,13
8441,13
8442,13
8443,16
8444,16
8445,13
8446,13
8447,13
8448,13
8449,16
8450,12
8451,13
8452,13
8453,13
8454,13
8455,16
8456,16
8457,13
8458,13
8459,13
8460,13
8461,13
8462,13
8463,13
8464,13
8465,13
8466,16
8467,13
8468,13
8470,13
8471,16
8472,13
8473,13
8474,13
8475,16
8476,13
8477,13
8478,13
8479,13
8480,16
8481,13
8482,16
8483,16
8484,13
8486,16
8487,13
8501,16
8502,12
8503,12
8504,16
8505,12
8506,12
8507,16
8508,12
8509,12
8510,16
8511,14
8512,14
8513,12
8514,13
8515,16
8516,12
8517,11
8518,11
8519,11
8521,11
8522,11
8523,11
8525,11
8526,11
8527,11
8528,11
8529,16
8530,12
8531,12
8532,12
8533,12
8534,11
8535,12
8536,16
8537,12
8538,12
8539,16
8540,11
8541,16
8542,11
8543,12
8544,16
8545,12
8546,16
8547,12
8548,17
8601,14
8602,14
8603,14
8604,17
8605,17
8606,14
8607,14
8608,17
8609,14
8701,13
8702,14
8703,14
8704,17
8705,17
8706,14
8707,14
8708,14
8709,17
8710,17
8711,17
8712,14
8713,14
8714,17
8715,14
8716,14
8801,14
8802,14
8803,17
8804,17
8805,13
8901,14
8902,14
8903,14
8904,14
8905,17
8906,14
8907,14
8908,17
9001,18
9002,11
9003,15
9004,15
9005,11
9006,11
9007,11
9008,11
9010,18
9011,11
9012,11
9013,11
9014,18
9015,11
9016,11
9017,18
9018,18
9019,15
9020,18
9021,15
9022,11
9023,15
9024,11
9025,11
9026,11
9027,11
9028,18
9029,11
9030,11
9031,11
9032,11
9033,11
9101,11
9102,11
9103,11
9104,18
9105,11
9106,11
9107,18
9108,11
9109,11
9110,11
9111,18
9112,11
9113,18
9114,11
9201,15
9202,15
9205,15
9206,18
9207,15
9208,15
9209,15
9301,10
9302,19
9303,10
9304,19
9305,19
9306,19
9307,19
9401,15
9402,15
9403,19
9404,15
9405,19
9406,5
9503,15
9504,15
9505,15
9506,15
9507,15
9508,13
9601,15
9602,19
9603,15
9604,19
9605,19
9606,15
9607,15
9608,15
9609,15
9610,19
9611,19
9612,15
9613,15
9614,5
9615,9
9616,15
9617,19
9618,19
9619,5
9620,10
9701,19
9702,19
9703,19
9704,19
9705,19
9706,19
